"Measure","Aliases"
"AL KPI OTIF CD L4W","['Last 4 Weeks']"
"AL KPI OTIF CD LW","['Last Week']"
"Past Due PO Month","['Past Due PO']"
"Past Due SO qty_MDP Month","['Backorders']"
"Demand History 3 MO AVG Month","['Demand History 3 MO AVG']"
"Quantity Available Intermediate PF","['Quantity Available']"
"Demand FCST output report","['Demand Forecast']"
"GFR 3 Mo Avg Month","['GFR 3 Mo Avg']"
"PCT OEM Month","['%OEM']"
"OHB Month","['OHB']"
"OEM Month","['OEM']"
"OEM PF Output Report","['OEM Purchase Forecast']"
"Buyback Open Month","['Buyback Open']"
"VMI - Qty to Ship","[]"
"Purchase Forecast Output Report","['Published Purchase Forecast']"
"W Resource Consumption Association","['Resource Consumption Association']"
"Past Due SO Provisioning","[]"
"Flow 1 Cat9 Region Final Split Ratio","['Final Cat9 to Region Split Ratio']"
"Past Due SO Replenishment","[]"
"Past Due SO Maintenance","[]"
"Existing PO OEM PF","['Existing PO OEM']"
"D Procurement Forecast","['Request', 'Request']"
"D Total Demand At Material Node","['Total outflow', 'Total outflow']"
"D Demand Supply Quantity","['Demand Supply Quantity']"
"Total Demand Excess","[]"
"Flow 2 and 3 TPE Remaining Target.ef0bd191-02bc-462b-a425-a5cf54844780",""
"Output Report Flag","[]"
"Item DC Forecast Override","[]"
"D Material Constraint Quantity","['Shortage - Constrained Demand']"
"BoH Excess","[]"
"EoH Excess","[]"
"VMI Association","[]"
"W Material RCA UI",""
"W Inventory Alert Status","[]"
"PO Commit Open Quantity","['Commit Open Quantity']"
"PO Commit Delivered Quantity","['Commit Delivered Quantity']"
"Stat Fcst Accuracy","[]"
"AL STO Goods Receipt Quantity TG","['Goods Receipt Quantity']"
"RGM Retailer Margin","['Retailer Margin']"
